model,dataset,beam,samples,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper
MISTRAL,HUMAN_EVAL,6,1000,mem_per_token,15.225646693430336,0.6978178066103237,0.8153692632433858,better,4.83628601062401e-78,paired t-test,-15.343198150063396,-13.712459623576624
MISTRAL,HUMAN_EVAL,6,1000,tok_per_sec,3.3268846288324383,6.585085312620263,0.05650351996728009,better,2.8699062570387957e-157,paired t-test,3.201697163820545,3.314704203755105
MISTRAL,HUMAN_EVAL,6,1000,score,0.7682926829268293,0.7682926829268293,,no_sig,1.0,McNemar test,,
MISTRAL,HUMAN_EVAL,1,1000,mem_per_token,13.592598736868837,,,n/a,,paired t-test,,
MISTRAL,HUMAN_EVAL,1,1000,tok_per_sec,4.324997832532008,,,n/a,,paired t-test,,
MISTRAL,HUMAN_EVAL,1,1000,score,0.7378048780487805,,,n/a,,paired t-test,,
MISTRAL,CNN,3,1000,mem_per_token,1.0354926614080455,0.4147908593065705,0.006416220137417827,better,3.9242552478396506e-129,paired t-test,-0.627118022238893,-0.6142855819640574
MISTRAL,CNN,3,1000,tok_per_sec,5.518227726447014,6.559003380748112,0.07220456245956175,better,1.1844968414843605e-49,paired t-test,0.9685710918415358,1.1129802167606593
MISTRAL,CNN,3,1000,score,0.1667959774279948,0.1671359441833287,0.00042908553882183665,no_sig,0.1191166708464573,paired t-test,-8.91187834879733e-05,0.0007690522941557
MISTRAL,CNN,6,1000,mem_per_token,2.0353474396608173,0.4853342922885769,0.014242321155935933,better,3.481737617089172e-134,paired t-test,-1.5642554685281764,-1.5357708262163046
MISTRAL,CNN,6,1000,tok_per_sec,4.128685540627031,5.740174006961946,0.10187242810789598,better,2.948758674102859e-53,paired t-test,1.5096160382270196,1.7133608944428116
